"url","id","definition_en","definition_it","label_en","label_it"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23A1","23A1","Assets belonging to the State's patrimony that can be alienated or economically exploited according to the provisions of the Civil Code and patrimonial regulations.","Beni appartenenti al patrimonio dello Stato suscettibili di alienazione o utilizzazione economica secondo le disposizioni del Codice civile e della normativa patrimoniale.","AVAILABLE ASSETS","BENI DISPONIBILI"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23A4","23A4","Patrimonial assets consisting of mineral deposits and their related physical and infrastructural appurtenances, governed by mining regulations.","Beni patrimoniali costituiti da giacimenti minerari e dalle relative pertinenze fisiche e infrastrutturali, disciplinati dalla normativa mineraria.","MINES AND RELATED APPURTENANCES","MINIERE E RELATIVE PERTINENZE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23A5","23A5","Assets belonging to the State and assigned for free or paid use to public administrations for institutional purposes.","Beni appartenenti allo Stato e assegnati in uso gratuito o oneroso a pubbliche amministrazioni per finalità istituzionali.","ASSETS ASSIGNED FOR GOVERNMENTAL USE","BENI ASSEGNATI IN USO GOVERNATIVO"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23A6","23A6","Assets of the State's patrimony that cannot be alienated, as they are intended for public service or public utility use, although not belonging to the necessary public domain.","Beni del patrimonio dello Stato non alienabili, in quanto destinati a un pubblico servizio o a un uso di pubblica utilità, pur non appartenendo al demanio necessario.","UNAVAILABLE ASSETS","BENI NON DISPONIBILI"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23B2","23B2","State patrimonial assets encumbered by real rights (usufruct, easement, emphyteusis, etc.) established in favor of entities other than the State.","Beni patrimoniali dello Stato gravati da diritti reali (usufrutto, servitù, enfiteusi, ecc.) costituiti a favore di soggetti diversi dallo Stato.","ASSETS ENCUMBERED BY REAL RIGHTS IN FAVOR OF THIRD PARTIES","BENI SU CUI GRAVANO DIR. REALI A FAVORE TERZI"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23C3","23C3","Active real rights belonging to the State on assets owned by others, having a patrimonial nature (e.g., easement, active emphyteusis, usufruct).","Diritti reali attivi spettanti allo Stato su beni di proprietà altrui, aventi natura patrimoniale (es. servitù, enfiteusi attiva, usufrutto).","REAL RIGHTS ON PATRIMONIAL ASSETS","DIRITTI REALI SU BENI PATRIMONIALI"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23C3C","23C3C","Real rights belonging to the State on assets owned by municipal entities.","Diritti reali spettanti allo Stato su beni appartenenti a enti comunali.","REAL RIGHTS ON ASSETS OWNED BY MUNICIPALITIES","DIR. REALI SU BENI DI PROPRIETA` DI COMUNI"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23C3P","23C3P","Real rights belonging to the State on assets owned by provincial entities.","Diritti reali spettanti allo Stato su beni appartenenti a enti provinciali.","REAL RIGHTS ON ASSETS OWNED BY PROVINCES","DIR. REALI SU BENI DI PROPRIETA` DI PROVINCIE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoCategoriaPatrimonialeImmobile/23C3R","23C3R","Real rights belonging to the State on assets owned by regional entities.","Diritti reali spettanti allo Stato su beni appartenenti a enti regionali.","REAL RIGHTS ON ASSETS OWNED BY REGIONS","DIR. REALI SU BENI DI PROPRIETA` DI REGIONI"
