"url","id","definition_it","definition_en","label_it","label_en"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/AGIB","AGIB","Immobile certificato come idoneo all'uso e all'occupazione, conforme alle normative tecniche e di sicurezza vigenti.","Property certified as suitable for use and occupation, compliant with current technical and safety regulations.","AGIBILE","HABITABLE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/DEGRAD","DEGRAD","Immobile in condizioni di degrado fisico ma non oggetto di ordinanze di inagibilità, richiedente interventi di recupero.","Property in physical deterioration but not subject to uninhabitability orders, requiring recovery interventions.","DEGRADATO","DETERIORATED"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/DEMOL","DEMOL","Immobile per cui è stata disposta la demolizione per motivi di sicurezza o urbanistici.","Property for which demolition has been ordered for safety or urban planning reasons.","DA DEMOLIRE","TO BE DEMOLISHED"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/INAG","INAG","Immobile non idoneo all'uso per gravi carenze strutturali, impiantistiche o igienico-sanitarie, con divieto di occupazione.","Property unsuitable for use due to serious structural, plant or health deficiencies, with prohibition of occupation.","INAGIBILE","UNINHABITABLE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/NUOVA","NUOVA","Immobile di nuova edificazione in attesa di prima certificazione di agibilità.","Newly built property awaiting first habitability certification.","NUOVA COSTRUZIONE","NEW CONSTRUCTION"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/PARZ","PARZ","Immobile utilizzabile solo per specifici usi o in determinate porzioni, con limitazioni documentate.","Property usable only for specific uses or in certain portions, with documented limitations.","PARZIALMENTE AGIBILE","PARTIALLY HABITABLE"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/RISTR","RISTR","Immobile temporaneamente non utilizzabile a causa di interventi di ristrutturazione, manutenzione straordinaria o adeguamento.","Property temporarily unusable due to renovation, extraordinary maintenance or adaptation works.","IN RISTRUTTURAZIONE","UNDER RENOVATION"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/SISM","SISM","Immobile dichiarato temporaneamente o permanentemente inagibile a seguito di danni da eventi sismici.","Property declared temporarily or permanently uninhabitable following damage from seismic events.","INAGIBILE PER EVENTI SISMICI","UNINHABITABLE DUE TO SEISMIC EVENTS"
"https://w3id.org/italia/real-estate/controlled-vocabulary/StateProperty/TipoStatoDiAgibilitaImmobile/VERIF","VERIF","Immobile in fase di accertamento tecnico dello stato di agibilità, in attesa di certificazione definitiva.","Property undergoing technical assessment of habitability status, awaiting final certification.","IN VERIFICA","UNDER ASSESSMENT"
